START_ID,END_ID
1,32758
1,32954
1,32943
1,3683
1,98
1,30746
1,31666
1,3241
1,34123
1,3069
1,32722
1,34263
1,33538
4,36092
4,32123
4,37623
4,30273
4,34943
4,769
4,31717
4,31046
4,34623
4,83
4,31233
4,35878
4,33643
4,38091
4,31444
4,285
5,37887
5,31326
5,37022
5,35895
5,30763
5,33823
5,29507
5,36221
5,31758
5,34463
5,2939
5,31255
5,29566
5,35867
5,32394
5,31889
5,2982
5,33626
5,35438
5,32694
5,35899
5,38105
6,34026
6,36384
6,36667
6,3196
6,62
6,3624
6,29235
6,30788
6,33996
6,29749
6,30462
7,32353
7,34615
7,37695
7,29032
7,30838
8,29292
8,30573
8,29595
8,34409
8,29038
8,35335
8,35856
9,452
9,30595
9,30883
9,37213
9,8
9,31182
9,164
9,33838
9,29809
9,35008
9,29368
9,29588
9,34716
9,29566
9,3571
9,30213
9,33229
9,37836
9,31164
9,32389
9,33965
10,32367
10,32055
10,35822
10,31514
10,30712
11,454
12,37633
12,34417
13,34627
13,31195
13,33715
13,29644
13,37055
13,29548
13,34199
13,366
13,29715
13,34285
13,30336
13,33737
13,35868
13,656
13,29595
13,31945
13,599
13,31718
13,3684
13,34359
13,35902
13,34286
14,31649
14,3334
14,35432
14,35614
14,36569
14,35517
14,34724
14,34457
14,504
14,33826
14,34737
14,36044
14,3017
14,35095
14,30914
14,31577
14,34667
14,31181
14,38018
14,33547
14,32149
14,31365
14,34086
15,29386
15,31095
15,109
15,29437
16,30711
16,416
16,36386
16,37437
16,3536
16,3463
16,31865
16,3372
16,3244
16,31522
16,29484
16,34815
16,33382
16,35826
16,35392
16,30125
16,31363
16,2929
16,31735
16,638
16,6
16,33485
16,33792
17,35468
17,36837
17,32113
17,37683
17,37959
17,32415
17,35221
17,36603
17,186
17,32729
17,32357
18,36398
18,29381
18,34195
18,32228
18,36137
19,29535
19,33393
19,34844
19,33438
19,31786
19,35513
19,30316
19,3692
19,29066
19,32861
19,37684
19,35567
19,3144
19,29894
19,30432
19,38046
20,30741
20,32252
20,3285
20,31403
20,35579
20,3769
21,31158
21,34273
21,37238
21,30016
21,29661
21,33897
21,171
21,33942
21,36065
21,36933
21,32519
21,3283
21,198
21,295
21,30845
21,33947
21,33913
21,36672
21,34178
21,37243
21,32795
21,33422
21,31199
21,35949
21,109
22,37569
22,35311
22,29239
22,32413
22,33351
22,33302
22,29954
22,31323
22,30958
22,31828
22,3305
22,34742
22,35046
22,35037
22,32874
22,30053
22,33542
22,35289
22,33992
23,3039
23,31767
23,30217
23,22
23,30215
23,592
23,34972
23,3027
24,35902
24,37122
24,33761
24,30603
24,29651
24,419
24,32775
25,37525
25,30504
25,31763
25,355
25,3719
25,29324
25,37493
25,3421
25,31076
25,34479
25,38084
25,37458
25,34994
25,32501
26,3275
26,3426
26,37638
26,28941
26,37088
26,32371
26,3479
26,29338
26,33319
26,31119
26,31905
26,31444
26,37853
27,31078
28,30224
28,3011
28,37917
28,32216
28,728
28,33501
28,30789
28,31303
28,37647
28,37056
28,29298
28,38106
28,30437
28,35436
28,3511
28,30704
28,37692
28,29156
28,30082
28,2893
28,29738
28,32797
28,3438
28,3154
28,3565
29,32674
29,30884
30,36957
30,32156
30,32039
30,33213
30,31455
30,32065
30,29168
30,29618
30,583
30,36864
30,33303
30,29059
31,32707
31,34265
32,32133
32,35841
32,37299
32,36483
32,33097
33,29345
33,36936
33,33653
33,29106
33,32345
33,34383
33,33123
33,33374
33,36367
33,36733
33,37701
33,31276
33,35598
33,35969
33,36384
33,29927
33,34426
34,35873
34,35874
34,36562
34,36589
35,36129
35,33132
35,33376
35,32179
35,3609
35,29373
35,30102
35,31295
35,37726
35,34804
36,31033
36,3326
36,29814
36,32573
36,3123
36,37543
36,30946
36,29558
36,32098
36,3108
36,35439
36,33906
37,33874
37,29993
37,36302
37,31199
37,35598
37,32186
37,319
37,37645
37,34781
37,32132
37,32663
37,35436
37,30203
38,33911
38,29723
38,37388
38,36546
38,32269
38,38071
38,31701
38,33596
38,29799
38,446
38,3772
38,35657
38,37382
38,29022
39,2985
39,663
39,30707
39,36968
39,32407
39,35853
39,29224
39,36823
39,32772
39,31874
39,35929
39,35646
39,34876
39,38119
39,36924
39,30205
39,29385
39,32824
39,35659
39,234
39,31525
39,31
39,37633
39,36774
40,32234
40,3367
40,30003
40,36127
40,33159
40,32334
40,34547
40,31356
40,30195
40,37845
40,34497
40,29475
40,2892
40,33003
40,29313
40,32114
40,34732
41,3738
41,29823
41,37069
41,37328
41,36177
41,36568
41,36119
41,36802
41,3142
41,34007
41,35631
41,36841
41,3009
41,34569
41,30656
41,3664
41,31336
41,37587
41,35889
41,34387
41,32804
41,35581
42,34357
42,33706
42,32893
42,29259
42,3199
43,31647
43,30591
43,36592
43,37539
43,34976
43,32474
43,33501
43,31203
43,32705
43,29707
43,31252
43,32849
44,304
44,32037
44,33379
44,31722
44,3041
44,31118
44,29718
44,571
44,29974
44,34821
44,31073
44,30652
44,3729
44,34429
44,32865
45,32019
45,37082
45,385
45,34404
45,29347
45,29023
45,3207
45,35103
45,34803
45,3739
45,412
45,36577
45,33868
45,352
45,35202
45,108
45,83
45,34943
45,33983
45,272
45,33706
45,34291
45,34327
46,37419
46,33444
46,218
46,545
46,34811
46,37096
46,35316
46,35739
46,37409
46,29509
46,37863
46,36909
46,35837
46,33852
46,30523
46,32567
46,33255
46,36939
46,33347
46,36425
46,30865
46,32939
46,612
46,31945
47,29674
47,3407
47,36286
47,31985
47,29795
47,33329
47,30142
47,3075
47,32565
47,34812
47,31099
47,29997
47,3152
47,29592
47,3811
47,33287
47,292
47,36425
47,32034
47,2935
47,31644
47,35124
47,38024
48,34834
48,394
48,35894
48,31666
48,33436
48,30658
48,31438
48,467
48,2935
48,36513
48,3367
48,33463
48,3555
48,36744
48,36574
48,29181
48,36681
48,37639
48,37046
48,32462
48,34567
49,32608
49,32005
49,31148
49,30858
49,3414
49,32853
49,37988
49,32508
49,37269
49,30839
49,36594
49,33321
49,33482
49,32128
49,3047
49,36094
49,34192
49,29346
49,35661
50,31936
50,33135
50,29211
50,29123
50,37857
50,35689
50,36035
50,33705
50,33043
50,32844
50,34011
50,30722
51,714
51,124
51,32584
51,36732
51,36307
51,339
51,31159
51,38
51,32649
51,29775
51,33811
51,32405
51,36729
51,37576
51,38094
51,31367
51,458
51,33177
51,34311
51,33906
51,29656
52,32848
52,36385
52,32366
52,28989
52,29745
52,3575
52,31938
52,35864
52,35319
52,29612
52,30816
52,30111
52,31348
52,30407
52,3289
52,3518
52,31694
53,32811
53,32645
53,37159
53,29792
53,30625
53,35298
54,36277
54,29166
54,32184
54,32694
54,37324
54,31718
54,31962
54,29851
54,31911
54,445
54,32059
54,32026
54,38039
54,36046
54,33924
54,35463
54,213
54,33781
