ID,author
10720139,Paul Kocher
10720140,Daniel Genkin
10720141,Daniel Gruss
10720142,Werner Haas 0004
10720143,Mike Hamburg
10720144,Moritz Lipp
10720145,Stefan Mangard
10720146,Thomas Prescher 0002
10720147,Michael Schwarz 0001
10720148,Yuval Yarom
10720149,Frank Manola
10720150,Michael L. Brodie
10720151,Michael Stonebraker
10720152,Mark F. Hornick
10720153,Joe D. Morrison
10720154,Farshad Nayeri
10720155,Alejandro P. Buchmann
10720156,M. Tamer Özsu
10720157,Dimitrios Georgakopoulos 0001
10720158,Sandra Heiler
10720159,Benjamin Hurwitz
10720160,David Beech
10720161,Cetin Ozbutun
10720162,Krishna G. Kulkarni
10720163,Jim Melton
10720164,Jonathan Bauer
10720165,Mike Kelley
10720166,Phil Shaw
10720167,Rolf Sander
10720168,Thomas Ludwig 0001
10720169,Werner Emde
10720170,Claus-Rainer Rollinger
10720171,Christoph Beierle
10720172,Udo Pletat
10720173,Hans Uszkoreit
10720174,Ulrike Rackow
10720175,Ido Dagan
10720176,Ulrike Schwall
10720177,Brigitte Bartsch-Spörl
10720178,Erich Gehlen
10720179,Burkhard Kehrbusch
10720180,Markus Höhfeld
10720181,Gert Smolka
10720182,Birgit Wesche
10720183,Christopher Habel
10720184,Bernd Walter
10720185,Michael Ley
10720186,Albert Maier
10720187,Stefan Benzschawel
10720188,Egon Börger
10720189,Roland Seiffert
10720190,Gisela Schöpke
10720191,Stefan Böttcher
10720192,Rudi Studer
10720193,Toni Bollinger
10720194,Carola Eschenbach
10720195,Manfred Schmidt-Schauß
10720196,Hans-Joachim Goltz
10720197,Otthein Herzog
10720198,Bernhard Beckert
10720199,Stefan J. Schierholz
10720200,Birgit Wendholt
10720201,Gudrun Klose
10720202,Michael Herweg
10720203,Mohammed Nadjib Khenkhar
10720204,Simone Pribbenow
10720205,Klaus Rehkämper
10720206,Anja Theuner
10720207,Peter H. Schmitt
10720208,Claudia Maienborn
10720209,Brigitte Bläser
10720210,Angelika Storrer
10720211,Esther König
10720212,Claudia Mrotzek
10720213,Stefan Börner
10720214,Lutz Voelkel
10720215,Kai-Uwe Carstensen
10720216,Ulrike Weiland
10720217,Martin Hübner
10720218,Michael Czymmeck
10720219,Michael Tarnowski
10720220,Helmar Gust
