START_ID,END_ID
10720139,13
10720140,16
10720141,18
10720142,88
10720143,86
10720144,17
10720145,35
10720146,18
10720147,83
10720148,89
10720149,25
10720150,49
10720151,19
10720152,49
10720153,1
10720154,24
10720155,5
10720156,13
10720157,14
10720158,57
10720159,21
10720160,11
10720161,15
10720162,17
10720163,6
10720164,29
10720165,64
10720166,15
10720167,61
10720168,3
10720169,7
10720170,72
10720171,17
10720172,44
10720173,1
10720174,39
10720175,2
10720176,13
10720177,4
10720178,24
10720179,17
10720180,32
10720181,1
10720182,12
10720183,19
10720184,26
10720185,11
10720186,73
10720187,58
10720188,11
10720189,2
10720190,17
10720191,3
10720192,16
10720193,18
10720194,13
10720195,83
10720196,17
10720197,17
10720198,14
10720199,14
10720200,58
10720201,25
10720202,45
10720203,73
10720204,16
10720205,19
10720206,36
10720207,12
10720208,97
10720209,12
10720210,49
10720211,11
10720212,14
10720213,17
10720214,13
10720215,77
10720216,7
10720217,1
10720218,12
10720219,15
10720220,12
10720221,17
10720222,99
10720223,16
10720224,59
10720225,1
10720226,32
10720227,55
10720228,12
10720229,1
10720230,49
10720231,24
10720232,19
10720233,5
10720234,17
10720235,69
10720236,19
10720237,15
10720238,93
10720239,56
10720240,16
10720241,54
10720242,2
10720243,5
10720244,44
10720245,2
10720246,11
10720247,53
10720248,48
10720249,17
10720250,15
10720251,15
10720252,18
10720253,2
10720254,74
10720255,17
10720256,12
10720257,4
10720258,11
10720259,98
10720260,45
10720261,44
10720262,83
10720263,18
10720264,46
10720265,16
10720266,28
10720267,13
10720268,19
10720269,1
10720270,21
10720271,24
10720272,51
10720273,74
10720274,11
10720275,1
10720276,75
10720277,13
10720278,1
10720279,11
10720280,11
10720281,77
10720282,11
10720283,79
10720284,11
10720285,1
10720286,13
10720287,47
10720288,2
10720289,55
10720290,18
10720291,16
10720292,21
10720293,0
10720294,36
10720295,15
10720296,17
10720297,75
10720298,2
10720299,17
10720300,96
10720301,6
10720302,15
10720303,34
10720304,14
10720305,14
10720306,41
10720307,1
10720308,14
10720309,92
10720310,46
10720311,6
10720312,14
10720313,13
10720314,62
10720315,47
10720316,14
10720317,17
10720318,5
10720319,26
10720320,73
10720321,2
10720322,17
10720323,19
10720324,17
10720325,11
10720326,78
10720327,56
