START_ID,END_ID
10744951,82
10744952,2
10744953,15
10744954,91
10744955,66
10744956,4
10744957,72
10744958,15
10744959,57
10744960,18
10744961,51
10744962,0
10744963,68
10744964,11
10744965,17
10744966,17
10744967,54
10744968,58
10744969,79
10744970,2
10744971,13
10744972,18
10744973,15
10744974,17
10744975,18
10744976,15
10744977,19
10744978,11
10744979,13
10744980,53
10744981,86
10744982,91
10744983,16
10744984,11
10744985,62
10744986,44
10744987,19
10744988,8
10744989,14
10744990,13
10744991,17
10744992,19
10744993,89
10744994,11
10744995,13
10744996,31
10744997,87
10744998,17
10744999,92
10745000,96
10745001,83
10745002,19
10745003,15
10745004,99
10745005,73
10745006,67
10745007,16
10745008,14
10745009,18
10745010,19
10745011,57
10745012,43
10745013,89
10745014,41
10745015,5
10745016,13
10745017,16
10745018,15
10745019,89
10745020,93
10745021,11
10745022,72
10745023,2
10745024,33
10745025,54
10745026,29
10745027,18
10745028,11
10745029,6
10745030,24
10745031,19
10745032,83
10745033,11
10745034,17
10745035,11
10745036,1
10745037,18
10745038,76
10745039,42
10745040,17
10745041,14
10745042,15
10745043,38
10745044,65
10745045,14
10745046,12
10745047,16
10745048,15
10745049,4
10745050,76
10745051,1
10745052,49
10745053,17
10745054,21
10745055,5
10745056,16
10745057,15
10745058,12
10745059,16
10745060,17
10745061,13
10745062,69
10745063,7
10745064,19
10745065,2
10745066,13
10745067,16
10745068,11
10745069,2
10745070,14
10745071,96
10745072,2
10745073,15
10745074,49
10745075,93
10745076,2
10745077,14
10745078,34
10745079,16
10745080,19
10745081,12
10745082,11
10745083,58
10745084,22
10745085,7
10745086,18
10745087,25
10745088,14
10745089,27
10745090,2
10745091,14
10745092,0
10745093,2
10745094,14
10745095,15
10745096,25
10745097,2
10745098,14
10745099,14
10745100,91
10745101,15
10745102,28
10745103,93
10745104,19
10745105,14
10745106,12
10745107,49
10745108,21
10745109,18
10745110,14
10745111,74
10745112,18
10745113,1
10745114,17
10745115,21
10745116,41
10745117,3
10745118,33
