START_ID,END_ID,review,accepted,review_id
0,10720371,Tempora dolor quiquia sit dolore.,TRUE,1
1,10752695,Quaerat quiquia porro numquam quaerat.,TRUE,1
2,10740774,Non neque dolorem adipisci sit.,TRUE,1
3,10750053,Amet quisquam quaerat quaerat porro neque.,TRUE,4
4,10752430,Sit non numquam quaerat.,TRUE,4
5,10749819,Consectetur consectetur porro eius.,TRUE,4
6,10738352,Neque labore neque porro voluptatem ipsum consectetur.,TRUE,5
7,10738991,Quiquia non consectetur magnam sit magnam quiquia.,TRUE,5
8,10743125,Numquam eius neque amet labore ipsum.,TRUE,5
9,10738791,Voluptatem dolorem tempora adipisci etincidunt velit aliquam sit.,TRUE,6
10,10750658,Labore voluptatem velit adipisci tempora dolore.,TRUE,6
11,10740393,Dolorem quisquam voluptatem aliquam voluptatem neque adipisci ut.,TRUE,6
12,10720496,Etincidunt aliquam aliquam voluptatem velit numquam.,TRUE,7
13,10744548,Porro quaerat aliquam etincidunt dolorem porro aliquam.,TRUE,7
14,10753082,Aliquam voluptatem aliquam amet quiquia consectetur.,TRUE,7
15,10738726,Modi eius amet est consectetur aliquam adipisci.,TRUE,8
16,10746710,Consectetur dolore dolore modi tempora.,TRUE,8
17,10751681,Dolore consectetur etincidunt quisquam.,TRUE,8
18,10740153,Est velit modi consectetur non.,TRUE,9
19,10752780,Non non quaerat non quaerat magnam aliquam.,TRUE,9
20,10744706,Ut quaerat numquam ipsum consectetur dolorem sed.,TRUE,9
21,10744840,Ipsum est adipisci sit.,TRUE,10
22,10749590,Voluptatem est etincidunt neque est quisquam ipsum est.,TRUE,10
23,10752958,Aliquam sed dolorem velit porro.,TRUE,10
24,10739817,Neque tempora ut quiquia porro quaerat modi.,TRUE,11
25,10752456,Consectetur est dolor quaerat amet amet ipsum.,TRUE,11
26,10741201,Quaerat aliquam non quiquia numquam est numquam velit.,TRUE,11
27,10742890,Quiquia magnam tempora sed porro amet neque.,TRUE,12
28,10738852,Numquam voluptatem modi ipsum porro.,TRUE,12
29,10746594,Magnam ipsum velit consectetur labore magnam labore quisquam.,TRUE,12
30,10747518,Quisquam porro ut dolor porro eius modi dolorem.,TRUE,13
31,10740642,Magnam voluptatem adipisci dolore eius dolorem ut porro.,TRUE,13
32,10745212,Consectetur sed etincidunt dolore.,TRUE,13
33,10750401,Sed etincidunt modi numquam tempora adipisci.,TRUE,14
34,10750647,Non sit neque neque etincidunt.,TRUE,14
35,10745689,Labore est dolorem consectetur quaerat non aliquam.,TRUE,14
36,10748031,Numquam adipisci quaerat velit sit quiquia.,TRUE,15
37,10749727,Dolorem adipisci dolor voluptatem etincidunt.,TRUE,15
38,10750969,Labore quiquia modi etincidunt amet non.,TRUE,15
39,10748796,Sit ut eius dolor voluptatem magnam sed.,TRUE,16
40,10739764,Dolore ipsum sed quisquam labore tempora magnam.,TRUE,16
41,10738889,Dolorem labore sed ipsum adipisci amet dolorem quisquam.,TRUE,16
